type_hosp,codeGeo,Dépt,DéptNom,GDE REG,Nb RHA,Nb SSRHA,Nb séjours,Nb journées,Année
HP,60260,60,OISE,HDF,41,7,41,166,2020
HC,60260,60,OISE,HDF,3,2,2,12,2021
HP,60260,60,OISE,HDF,70,14,70,302,2021
HP,60260,60,OISE,HDF,101,19,101,398,2022
HC,60270,60,OISE,HDF,3,1,1,16,2020
HP,60270,60,OISE,HDF,26,10,26,101,2020
HC,60270,60,OISE,HDF,3,1,1,16,2021
HP,60270,60,OISE,HDF,72,13,72,296,2021
HP,60270,60,OISE,HDF,142,18,142,627,2022
HC,60280,60,OISE,HDF,6,1,1,36,2020
HP,60280,60,OISE,HDF,3,1,3,13,2020
HP,60280,60,OISE,HDF,7,4,7,8,2021
HP,60280,60,OISE,HDF,7,5,7,12,2022
HC,60290,60,OISE,HDF,5,2,2,25,2020
HP,60290,60,OISE,HDF,45,13,45,161,2020
HC,60290,60,OISE,HDF,15,3,3,91,2021
HP,60290,60,OISE,HDF,54,18,54,177,2021
HC,60290,60,OISE,HDF,8,2,2,44,2022
HP,60290,60,OISE,HDF,14,14,14,14,2022
HC,60300,60,OISE,HDF,12,1,1,75,2020
HP,60300,60,OISE,HDF,43,10,43,160,2020
HC,60300,60,OISE,HDF,10,2,2,59,2021
HP,60300,60,OISE,HDF,119,17,119,492,2021
HC,60300,60,OISE,HDF,8,3,3,40,2022
HP,60300,60,OISE,HDF,104,16,104,372,2022
HC,60310,60,OISE,HDF,12,8,8,51,2020
HP,60310,60,OISE,HDF,14,7,14,45,2020
HC,60310,60,OISE,HDF,2,1,1,10,2021
HP,60310,60,OISE,HDF,3,3,3,3,2021
HP,60310,60,OISE,HDF,12,6,12,42,2022
HP,60320,60,OISE,HDF,12,11,12,12,2020
HP,60320,60,OISE,HDF,2,2,2,2,2021
HP,60320,60,OISE,HDF,7,3,7,17,2022
HP,60330,60,OISE,HDF,1,1,1,1,2021
HP,60340,60,OISE,HDF,44,13,44,170,2020
HC,60340,60,OISE,HDF,7,3,3,36,2021
HP,60340,60,OISE,HDF,121,28,121,445,2021
HC,60340,60,OISE,HDF,14,2,2,82,2022
HP,60340,60,OISE,HDF,118,25,118,464,2022
HC,60350,60,OISE,HDF,11,6,6,50,2020
HP,60350,60,OISE,HDF,8,4,8,25,2020
HP,60350,60,OISE,HDF,8,3,8,29,2021
HP,60350,60,OISE,HDF,6,3,6,17,2022
HP,60360,60,OISE,HDF,1,1,1,1,2020
HP,60360,60,OISE,HDF,1,1,1,1,2021
HP,60360,60,OISE,HDF,5,2,5,20,2022
HC,60370,60,OISE,HDF,7,2,2,38,2022
